	Prob	refPrice	low_dlev	medium_dlev	high_dlev
136	0.0025	40	0.3693	0.59088	0.7386
137	0.0025	40	0.36365	0.58184	0.7273
138	0.0025	40	0.35795	0.57272	0.7159
139	0.0025	40	0.35225	0.5636	0.7045
140	0.0025	40	0.3466	0.55456	0.6932
141	0.0025	40	0.3409	0.54544	0.6818
142	0.0025	40	0.33525	0.5364	0.6705
143	0.0025	40	0.32955	0.52728	0.6591
144	0.0025	40	0.32385	0.51816	0.6477
145	0.0025	40	0.3182	0.50912	0.6364
146	0.0025	40	0.3125	0.5	0.625
147	0.0025	40	0.3068	0.49088	0.6136
148	0.0025	40	0.30115	0.48184	0.6023
149	0.0025	40	0.29545	0.47272	0.5909
150	0.0025	40	0.28975	0.4636	0.5795
151	0.0025	40	0.2841	0.45456	0.5682
152	0.0025	40	0.2784	0.44544	0.5568
153	0.0025	40	0.27275	0.4364	0.5455
154	0.0025	40	0.26705	0.42728	0.5341
155	0.0025	40	0.26135	0.41816	0.5227
156	0.0025	40	0.2557	0.40912	0.5114
157	0.0025	40	0.25	0.4	0.5
158	0.0025	40	0.2375	0.38	0.475
159	0.0025	40	0.225	0.36	0.45
160	0.0025	40	0.2125	0.34	0.425
161	0.00625	250	0.5	0.8	1
162	0.00625	175	0.4875	0.78	0.975
163	0.00625	100	0.475	0.76	0.95
164	0.00625	75	0.4625	0.74	0.925
165	0.00625	70	0.4568	0.73088	0.9136
166	0.00625	65	0.45115	0.72184	0.9023
167	0.00625	50	0.44545	0.71272	0.8909
168	0.00625	45	0.43975	0.7036	0.8795
169	0.00625	40	0.4341	0.69456	0.8682
170	0.00625	40	0.4284	0.68544	0.8568
171	0.00625	40	0.42275	0.6764	0.8455
172	0.00625	40	0.41705	0.66728	0.8341
173	0.00625	40	0.41135	0.65816	0.8227
174	0.00625	40	0.4057	0.64912	0.8114
175	0.00625	40	0.4	0.64	0.8
176	0.00625	40	0.3943	0.63088	0.7886
177	0.00625	40	0.38865	0.62184	0.7773
178	0.00625	40	0.38295	0.61272	0.7659
179	0.00625	40	0.37725	0.6036	0.7545
180	0.00625	40	0.3716	0.59456	0.7432
181	0.00625	40	0.3659	0.58544	0.7318
182	0.00625	40	0.36025	0.5764	0.7205
183	0.00625	40	0.35455	0.56728	0.7091
184	0.00625	40	0.34885	0.55816	0.6977
185	0.00625	40	0.3432	0.54912	0.6864
186	0.00625	40	0.3375	0.54	0.675
187	0.00625	40	0.3318	0.53088	0.6636
188	0.00625	40	0.32615	0.52184	0.6523
189	0.00625	40	0.32045	0.51272	0.6409
190	0.00625	40	0.31475	0.5036	0.6295
191	0.00625	40	0.3091	0.49456	0.6182
192	0.00625	40	0.3034	0.48544	0.6068
193	0.00625	40	0.29775	0.4764	0.5955
194	0.00625	40	0.29205	0.46728	0.5841
195	0.00625	40	0.28635	0.45816	0.5727
196	0.00625	40	0.2807	0.44912	0.5614
197	0.00625	40	0.275	0.44	0.55
198	0.00625	40	0.2625	0.42	0.525
199	0.00625	40	0.25	0.4	0.5
200	0.00625	40	0.2375	0.38	0.475
201	0.00625	100	0.475	0.76	0.95
202	0.00625	75	0.4625	0.74	0.925
203	0.00625	65	0.45	0.72	0.9
204	0.00625	45	0.4375	0.7	0.875
205	0.00625	40	0.4318	0.69088	0.8636
206	0.00625	40	0.42615	0.68184	0.8523
207	0.00625	40	0.42045	0.67272	0.8409
208	0.00625	40	0.41475	0.6636	0.8295
209	0.00625	40	0.4091	0.65456	0.8182
210	0.00625	40	0.4034	0.64544	0.8068
211	0.00625	40	0.39775	0.6364	0.7955
212	0.00625	40	0.39205	0.62728	0.7841
213	0.00625	40	0.38635	0.61816	0.7727
214	0.00625	40	0.3807	0.60912	0.7614
215	0.00625	40	0.375	0.6	0.75
216	0.00625	40	0.3693	0.59088	0.7386
217	0.00625	40	0.36365	0.58184	0.7273
218	0.00625	40	0.35795	0.57272	0.7159
219	0.00625	40	0.35225	0.5636	0.7045
220	0.00625	40	0.3466	0.55456	0.6932
221	0.00625	40	0.3409	0.54544	0.6818
222	0.00625	40	0.33525	0.5364	0.6705
223	0.00625	40	0.32955	0.52728	0.6591
224	0.00625	40	0.32385	0.51816	0.6477
225	0.00625	40	0.3182	0.50912	0.6364
226	0.00625	40	0.3125	0.5	0.625
227	0.00625	40	0.3068	0.49088	0.6136
228	0.00625	40	0.30115	0.48184	0.6023
229	0.00625	40	0.29545	0.47272	0.5909
230	0.00625	40	0.28975	0.4636	0.5795
231	0.00625	40	0.2841	0.45456	0.5682
232	0.00625	40	0.2784	0.44544	0.5568
233	0.00625	40	0.27275	0.4364	0.5455
234	0.00625	40	0.26705	0.42728	0.5341
235	0.00625	40	0.26135	0.41816	0.5227
236	0.00625	40	0.2557	0.40912	0.5114
237	0.00625	40	0.25	0.4	0.5
238	0.00625	40	0.2375	0.38	0.475
239	0.00625	40	0.225	0.36	0.45
240	0.00625	40	0.2125	0.34	0.425
241	0.0025	250	0.5	0.8	1
242	0.0025	175	0.4875	0.78	0.975
243	0.0025	100	0.475	0.76	0.95
244	0.0025	75	0.4625	0.74	0.925
245	0.0025	70	0.4568	0.73088	0.9136
246	0.0025	65	0.45115	0.72184	0.9023
247	0.0025	50	0.44545	0.71272	0.8909
248	0.0025	45	0.43975	0.7036	0.8795
249	0.0025	40	0.4341	0.69456	0.8682
250	0.0025	40	0.4284	0.68544	0.8568
251	0.0025	40	0.42275	0.6764	0.8455
252	0.0025	40	0.41705	0.66728	0.8341
253	0.0025	40	0.41135	0.65816	0.8227
254	0.0025	40	0.4057	0.64912	0.8114
255	0.0025	40	0.4	0.64	0.8
256	0.0025	40	0.3943	0.63088	0.7886
257	0.0025	40	0.38865	0.62184	0.7773
